ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JOTLITZ,15,TILJZO;TTILJO;TTLJZO,T;Z;I,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8zhh0C8ywhlg0wwE8RpglxwD8wwRpglg0wwA8Je?AgWGAvOUPCU+AAA;v115@9gC8zhh0C8Btilg0wwE8glRpxwD8BtRpg0wwA8JeAg?WGAvOUFDK+AAA;v115@9gC8RpywwhC8i0wwhlwhE8g0xwglwhD8RpxwglwhA8?JeAgWGA0/7LCvOBAA;v115@9gC8RpwhywC8i0whwwhlE8g0whxwglD8RpwhxwglA8?JeAgWGA0/7LCvOBAA;v115@9gC8RpwhywC8i0whglxwE8g0whglxwD8RpwhhlwwA8?JeAgWGA0/7LCUHBAA;v115@9gC8wwBti0C8xwzhg0E8ilRpD8wwglBtRpA8JeAgWG?Av/DxCpXBAA
JOTJOLS,11,TLJJOO;TJJSOO;TLJSOO,S;L;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8i0ilC8ywg0glRpE8Rpg0RpD8wwRpi0A8JeAgWG?AK3KxCs/AAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA
OJTTZLS,16,TTLJSZ;TTJSZO;TTLJZO;TTLJSO,O;L;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8R4RphlC8R4wwRpwwglE8i0xwD8ywg0wwglA8Je?AgWGA0/VWCPNBAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8RpBthlC8i0wwBtglE8g0ywglD8RpzwA8JeAgWG?A0/VWCaHBAA;v115@9gC8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwA8JeAg?WGA0/VWCaNBAA;v115@9gC8RpBtR4C8i0wwBtwwE8g0zwD8RpwwR4wwA8JeAg?WGA0/lFDTHBAA;v115@9gC8RpilwwC8i0glAtxwE8g0BtxwD8RpAtywA8JeAg?WGA0fjxCMHBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywA8Je?AgWGA0fjxCzCBAA;v115@9gC8wwR4AthlC8ywBtwwglE8i0xwD8R4Atg0wwglA8?JeAgWGA0/TFDUNBAA;v115@9gC8wwR4ilC8zwglAtg0E8xwBtg0D8R4wwAth0A8Je?AgWGAqujxCMNBAA
JOTJLOS,12,TLJJSO;TLJJOO;TJJSOO;TLJSOO,O;S;L;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8i0ilC8ywg0glRpE8Rpg0RpD8wwRpi0A8JeAgWG?AK3KxCs/AAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8wwg0R4RpC8xwi0RpE8i0RpD8wwR4g0RpA8JeAg?WGAv/dgCKNBAA;v115@9gC8wwRpg0R4C8xwRpi0E8Rpi0D8wwRpR4g0A8JeAg?WGAv/lPCPNBAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA
JOTILTZ,15,TILJZO;TTILJO;TTLJZO;TTIJZO,T;Z;I;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8RpywwhC8i0wwhlwhE8g0xwglwhD8RpxwglwhA8?JeAgWGA0/7LCvOBAA;v115@9gC8RpwhywC8i0whwwhlE8g0whxwglD8RpwhxwglA8?JeAgWGA0/7LCvOBAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA;v115@9gC8wwRphlwhC8xwRpwwglwhE8g0ywwhD8wwi0glwh?A8JeAgWGAqe9VCUHBAA;v115@9gC8wwg0wwilC8ywzhE8g0xwRpD8h0wwglRpA8JeAg?WGAveNPC0CBAA;v115@9gC8ilywC8i0RpxwE8g0RpxwD8glzhwwA8JeAgWGA0?PFgC0CBAA;v115@9gC8wwRpywC8xwRpglwwg0E8zhg0D8wwilh0A8JeAg?WGAqe9VCUHBAA
JOTILZT,9,TILJZO;TTILJO;TTLJZO;TTIJZO,T;Z;I;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8RpywwhC8i0wwhlwhE8g0xwglwhD8RpxwglwhA8?JeAgWGA0/7LCvOBAA;v115@9gC8RpwhywC8i0whwwhlE8g0whxwglD8RpwhxwglA8?JeAgWGA0/7LCvOBAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA
JOTJLSO,11,TLJJSO;TLJJOO;LJJSOO;TJJSOO;TLJSOO,O;S;T;L;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4h0RpC8R4h0wwRpE8g0xwRpD8i0wwRpA8JeAg?WGAv/lPCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8R4Rph0C8R4g0Rpg0wwE8g0RpxwD8h0Rpg0wwA8?JeAgWGA0vaPCPNBAA;v115@9gC8wwi0RpC8ywglg0RpE8i0RpD8ilg0RpA8JeAgWG?AvvKxCs/AAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8i0glRpC8ywg0glRpE8Rpi0D8wwRphlg0A8JeAg?WGAv/DxCv/AAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8i0RpglC8ywg0ilE8Rpi0D8wwTpg0A8JeAgWGAv?/VWCKHBAA;v115@9gC8TphlC8i0RpwwglE8h0ywD8Rpi0glA8JeAgWGAq?+aPCMHBAA;v115@9gC8TpR4C8i0RphlE8h0R4glD8Rpi0glA8JeAgWGAK?HUPCTHBAA
OJTZTLS,15,TTLJSZ;TTJSZO;TTLJZO;TTLJSO,O;L;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8ywglRpC8BtxwglRpE8xwi0D8Btwwhlg0A8JeAg?WGAqujWCvOBAA;v115@9gC8BtRphlC8ywRpwwglE8i0xwD8wwBtg0wwglA8Je?AgWGA0/DxCvXBAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8wwR4ilC8zwglRpE8xwg0RpD8R4wwi0A8JeAgWG?AKHWxCMNBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8ywRpglC8BtxwilE8xwi0D8BtwwRpg0A8JeAgWG?AqujWCUHBAA;v115@9gC8RpilwwC8i0glAtxwE8g0BtxwD8RpAtywA8JeAg?WGA0fjxCMHBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywA8Je?AgWGA0fjxCzCBAA;v115@9gC8wwR4AthlC8ywBtwwglE8i0xwD8R4Atg0wwglA8?JeAgWGA0/TFDUNBAA;v115@9gC8wwR4ilC8zwglAtg0E8xwBtg0D8R4wwAth0A8Je?AgWGAqujxCMNBAA;v115@9gC8wwR4wwhlC80wh0E8Btwwg0glD8R4Btg0glA8Je?AgWGAqujxCMNBAA
JOTIZLT,7,TILJZO;TTILJO;TTLJZO;TTIJZO,T;Z;I;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA
JOTLJSZ,4,TLJJSO;TLJJZO,Z;S,v115@9gC8ywi0C8Btwwilg0E8i0RpD8Btglg0RpA8JeAgWG?AvfjWCqOBAA;v115@9gC8i0ilC8ywg0glR4E8Rpi0D8wwRpR4g0A8JeAgWG?AvvTxCs/AAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8l0C8ywg0R4g0E8ilRpD8wwglR4RpA8JeAgWGAv?/rtC0/AAA
JOTZILT,8,TILJZO;TTILJO;TTLJZO;TTILJZ,T;Z;I;O,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8zhhlC8BtzwglE8i0xwD8Btwwg0wwglA8JeAgWG?A0fjWCU+AAA;v115@9gC8zhhlC8ywAtg0wwglE8Btg0xwD8wwAth0wwglA8?JeAgWGA0fjWCU+AAA
OJTZTSL,15,TTJSZO;TTLJSZ;TTLJZO;TTLJSO,L;O;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywA8JeAg?WGA0vKxCzCBAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglA8JeAg?WGAvu/wCzCBAA;v115@9gC8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0A8JeAg?WGA0vKxCzCBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8wwBti0C81wg0E8R4wwRpD8R4BtRpA8JeAgWGAv?OmPCzXBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8ywilC8BtxwglR4E8xwi0D8BtwwR4g0A8JeAgWG?Aq+jFDsOBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywA8Je?AgWGA0fjxCzCBAA;v115@9gC8ilywC8i0R4xwE8g0BtxwD8glR4BtwwA8JeAgWG?A0fLuC0CBAA;v115@9gC8ilR4wwC8i0R4xwE8g0wwBtwwD8glywBtA8JeAg?WGAqujxCzCBAA
JOTLJZS,4,TLJJSO;LJJSZO;TLJJZO,Z;T;S,v115@9gC8ywi0C8Btwwilg0E8i0RpD8Btglg0RpA8JeAgWG?AvfjWCqOBAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8l0C8ywg0R4g0E8ilRpD8wwglR4RpA8JeAgWGAv?/rtC0/AAA;v115@9gC8R4Ati0C8R4Bti0E8Atglg0RpD8ilg0RpA8JeAg?WGAv/TFDz/AAA
JOTZITL,7,TILJZO;TTILJO;TTLJZO;TTILZO;TTIJZO,T;Z;I;J;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA;v115@9gC8ywilC8BtwwzhE8ywRpD8BtwwglRpA8JeAgWGAv?ubMC0CBAA
OJTTZSL,15,TTJSZO;TTLJSZ;TTLJZO;TTLJSO,L;O;S;Z,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywA8JeAg?WGA0vKxCzCBAA;v115@9gC8R4RphlC8R4wwRpwwglE8i0xwD8ywg0wwglA8Je?AgWGA0/VWCPNBAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglA8JeAg?WGAvu/wCzCBAA;v115@9gC8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0A8JeAg?WGA0vKxCzCBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8wwBti0C81wg0E8R4wwRpD8R4BtRpA8JeAgWGAv?OmPCzXBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwA8JeAg?WGA0/VWCaNBAA;v115@9gC8RpBtR4C8i0wwBtwwE8g0zwD8RpwwR4wwA8JeAg?WGA0/lFDTHBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywA8Je?AgWGA0fjxCzCBAA
JOTLZJS,7,TLJJSO;TLJJZO;LJJSZO,Z;S;T,v115@9gC8ywi0C8Btwwilg0E8i0RpD8Btglg0RpA8JeAgWG?AvfjWCqOBAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8l0C8ywg0R4g0E8ilRpD8wwglR4RpA8JeAgWGAv?/rtC0/AAA;v115@9gC8i0ilC8ywAtglRpE8Btg0RpD8wwAtj0A8JeAgWG?AKnjxCs/AAA;v115@9gC8l0C8ywg0Btg0E8RpilD8wwRpglBtA8JeAgWGAv?/TFDqOBAA;v115@9gC8k0AtC8ywh0BtE8Rpg0AtglD8wwRpilA8JeAgWG?Av/TFDqOBAA;v115@9gC8R4Ati0C8R4Bti0E8Atglg0RpD8ilg0RpA8JeAg?WGAv/TFDz/AAA
JOTIZTL,10,TILJZO;TTILJO;TTLJZO;TTILZO;TTIJZO,T;Z;I;J;L,v115@9gC8ywilC8BtxwglRpE8xwg0RpD8Btwwi0A8JeAgWG?AKHmFDsOBAA;v115@9gC8zhhlC8BtRpg0wwglE8Rpg0xwD8Bth0wwglA8Je?AgWGA0vaFDM+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA;v115@9gC8ywilC8BtxwRpg0E8xwRpg0D8Btwwglh0A8JeAg?WGAKHmFD0CBAA;v115@9gC8wwg0wwilC8ywzhE8g0xwRpD8h0wwglRpA8JeAg?WGAveNPC0CBAA;v115@9gC8ilywC8i0RpxwE8g0RpxwD8glzhwwA8JeAgWGA0?PFgC0CBAA;v115@9gC8wwRpywC8ywBtwwg0E8RpBtg0D8zhh0A8JeAgWG?AqeNFDUHBAA;v115@9gC8ywilC8BtwwzhE8ywRpD8BtwwglRpA8JeAgWGAv?ubMC0CBAA
OJTTSZL,15,TTJSZO;TTLJSZ;TTLJSO,L;O;Z,v115@9gC8R4wwilC8R4xwglRpE8xwg0RpD8ywi0A8JeAgWG?Aq+KxCzCBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4ilwwC8R4g0RpxwE8g0RpxwD8h0glywA8JeAg?WGA0vKxCzCBAA;v115@9gC8R4RphlC8R4wwRpwwglE8i0xwD8ywg0wwglA8Je?AgWGA0/VWCPNBAA;v115@9gC8wwR4ilC8zwRpg0E8xwRpg0D8R4wwglh0A8JeAg?WGAKHWxCzCBAA;v115@9gC8R4wwg0hlC8R4xwi0E8xwRpglD8ywRpglA8JeAg?WGAvu/wCzCBAA;v115@9gC8R4wwilC8R4xwRpg0E8xwRpg0D8ywglh0A8JeAg?WGA0vKxCzCBAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8wwBti0C81wg0E8R4wwRpD8R4BtRpA8JeAgWGAv?OmPCzXBAA;v115@9gC8R4BthlC8R4g0wwBtglE8g0ywglD8h0zwA8JeAg?WGA0/VWCaNBAA;v115@9gC8RpBtR4C8i0wwR4wwE8g0zwD8RpwwBtwwA8JeAg?WGA0/9tCvXBAA;v115@9gC8R4wwilC8R4xwglAtg0E8xwBtg0D8ywAth0A8Je?AgWGA0fjxCzCBAA;v115@9gC8R4ilwwC8R4g0glAtxwE8g0BtxwD8h0AtywA8Je?AgWGA0fjxCzCBAA;v115@9gC8ilBtwwC8i0R4xwE8g0zwD8glR4wwBtA8JeAgWG?AqO+tC6CBAA
JOTZLJS,6,TLJJSO;TLJJSZ;TLJJZO,Z;O;S,v115@9gC8ywi0C8Btwwilg0E8i0RpD8Btglg0RpA8JeAgWG?AvfjWCqOBAA;v115@9gC8wwR4i0C8ywilg0E8i0RpD8R4glg0RpA8JeAgWG?Av/DxCKNBAA;v115@9gC8i0ilC8ywg0glAtg0E8RpBtg0D8wwRpAth0A8Je?AgWGAvfjxCs/AAA;v115@9gC8i0ilC8ywAtglRpE8Btg0RpD8wwAtj0A8JeAgWG?AKnjxCs/AAA;v115@9gC8i0ilC8ywAtRpg0E8BtRpg0D8wwAtg0glh0A8Je?AgWGAKnjxCs/AAA;v115@9gC8wwR4i0C8ywilAtE8i0BtD8R4glg0Atg0A8JeAg?WGAqujWCz/AAA
JOTITZL,17,TTILJO;TTILZO;TTILJZ;TTIJZO,Z;J;O;L,v115@9gC8zhhlC8ywRpwwglE8g0RpxwD8wwi0wwglA8JeAg?WGAq+KWCU+AAA;v115@9gC8ilywC8zhh0wwE8Rpg0xwD8glRpg0xwA8JeAgWG?Avu3LC0CBAA;v115@9gC8ilywC8zhxwg0E8Rpxwg0D8glRpwwh0A8JeAgWG?Av/NMC0CBAA;v115@9gC8i0hlwhC8ywg0wwglwhE8RpxwwhD8wwRpwwglwh?A8JeAgWGAve9VC0/AAA;v115@9gC8i0whhlC8ywg0whwwglE8RpwhxwD8wwRpwhwwgl?A8JeAgWGAve9VC0/AAA;v115@9gC8wwh0ilC8xwg0zhE8ywRpD8wwg0wwglRpA8JeAg?WGAvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8RpywD8glRpg0xwA8JeAgWG?AvOmPCpCBAA;v115@9gC8ilh0wwC8zhg0xwE8Rpg0xwD8glRpywA8JeAgWG?AUHmPCpCBAA;v115@9gC8RpwhBtwwC8i0whywE8g0whywD8RpwhwwBtA8Je?AgWGA0P9wCaHBAA;v115@9gC8RpBtwwwhC8i0ywwhE8g0ywwhD8RpwwBtwhA8Je?AgWGA0P9wCvXBAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA;v115@9gC8wwRphlwhC8xwRpwwglwhE8g0ywwhD8wwi0glwh?A8JeAgWGAqe9VCUHBAA;v115@9gC8wwRpwwhlC80wh0E8Rpwwg0glD8zhg0glA8JeAg?WGAqe9wCMHBAA;v115@9gC8wwg0wwilC8ywzhE8g0xwRpD8h0wwglRpA8JeAg?WGAveNPC0CBAA;v115@9gC8ilywC8i0RpxwE8g0RpxwD8glzhwwA8JeAgWGA0?PFgC0CBAA;v115@9gC8wwBtilC8ywzhE8wwBtRpD8ywglRpA8JeAgWGAv?OOMC6CBAA;v115@9gC8BtglywC8zhxwg0E8Btxwg0D8ilwwh0A8JeAgWG?Aqe9wC6CBAA
