ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TJOIZOT,7,TTJZOO;TTIZOO;TIJZOO;TTIJZO,I;J;T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC81wC8BtwwRpwwg0E8zhg0D8BtRph0A8JeAgWGAq?eFgC6OBAA;v115@9gC8ywRpwhC8BtxwRpwhE8xwRpwhD8BtwwRpwhA8Je?AgWGAveNFDvOBAA;v115@9gC8ywwhRpC8BtxwwhRpE8xwwhRpD8BtwwwhRpA8Je?AgWGAveNFDvOBAA
JOTSTZJ,13,TTJJSO;TTJSZO;TTJJSZ,Z;J;O,v115@9gC8R4wwi0C8R4xwi0E8xwg0RpD8ywg0RpA8JeAgWG?Avu/wCz/AAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4wwi0C8R4xwRpg0E8xwi0D8ywRpg0A8JeAgWG?A0/dgCz/AAA;v115@9gC8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0A8JeAg?WGAq+KxCz/AAA;v115@9gC8wwR4i0C8zwi0E8xwRpg0D8R4wwRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8wwR4i0C81wg0E8BtwwRpD8R4BtRpA8JeAgWGAv?OmPCaNBAA;v115@9gC8wwBti0C81wg0E8R4wwRpD8R4BtRpA8JeAgWGAv?OmPCzXBAA;v115@9gC8R4wwi0C8R4xwi0E8xwRpg0D8ywRpg0A8JeAgWG?Avu/wCz/AAA;v115@9gC8zwRpC8ywBtRpE8R4i0D8R4wwBtg0A8JeAgWGAK?3TxC6OBAA;v115@9gC8R4wwi0C8R4xwBtg0E8xwg0BtD8ywi0A8JeAgWG?AqujxCz/AAA;v115@9gC8i0ywC8BtQ4g0xwg0E8R4xwg0D8BtQ4wwh0A8Je?AgWGAq+jFD0/AAA;v115@9gC8R4wwh0AtC8R4xwg0BtE8xwi0D8ywg0Atg0A8Je?AgWGA0/lFDKNBAA
OTJSZLO,7,TLJSZO;TLJZOO;TLJSOO;TLSZOO,O;S;Z;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8wwilRpC8xwglBtRpE8Rpi0D8wwRpBtg0A8JeAg?WGAvfjxCvCBAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpA8JeAg?WGAvujWCPNBAA;v115@9gC8RpBthlC8i0wwBtglE8g0xwR4D8RpwwR4glA8Je?AgWGA0vTWCaHBAA
JOTSZTJ,8,TTJSZO;TTJJSO;TTJJZO;TTJJSZ,J;Z;S;O,v115@9gC8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0A8JeAgWG?Aq+aFDqOBAA;v115@9gC8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpA8JeAgWG?Av/lFDqOBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0A8JeAg?WGAq+KxCz/AAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8ywi0C8Btxwi0E8xwRpg0D8BtwwRpg0A8JeAgWG?AvuPFD0/AAA;v115@9gC8zwRpC8ywBtRpE8R4i0D8R4wwBtg0A8JeAgWGAK?3TxC6OBAA;v115@9gC8i0ywC8BtQ4g0xwg0E8R4xwg0D8BtQ4wwh0A8Je?AgWGAq+jFD0/AAA
OTJSZOL,8,TJSZOO;TLJZOO;TLJSOO;TLSZOO,L;S;Z;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8wwilRpC8xwglBtRpE8Rpi0D8wwRpBtg0A8JeAg?WGAvfjxCvCBAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8ilwwRpC8i0xwRpE8g0R4RpD8glR4wwRpA8JeAg?WGAvvTxCvCBAA;v115@9gC8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpA8JeAg?WGAvujWCPNBAA
JOTZSTJ,7,TTJSZO;TTJJSO;TTJJSZ;TTJJZO,J;Z;O;S,v115@9gC8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0A8JeAgWG?Aq+aFDqOBAA;v115@9gC8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpA8JeAgWG?Av/lFDqOBAA;v115@9gC8R4BtRpC8R4ywRpE8xwi0D8ywBtg0A8JeAgWGA0?vKxCzXBAA;v115@9gC8R4wwi0C8R4g0xwRpE8g0xwRpD8h0ywg0A8JeAg?WGAq+KxCz/AAA;v115@9gC8xwBtRpC8ywR4RpE8R4i0D8ywBtg0A8JeAgWGAK?3TxC0XBAA;v115@9gC8ywi0C8Btxwi0E8xwRpg0D8BtwwRpg0A8JeAgWG?AvuPFD0/AAA;v115@9gC8g0ywR4C8i0wwR4wwE8g0BtxwD8i0BtwwA8JeAg?WGA0fLuC0/AAA
OTJSOZL,7,TJSZOO;TLJSOO;TLSZOO,L;Z;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8ilwwRpC8i0xwRpE8g0R4RpD8glR4wwRpA8JeAg?WGAvvTxCvCBAA;v115@9gC8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpA8JeAg?WGAvujWCPNBAA
JOTZSJT,6,TJJSZO;TTJJSO;TTJJZO,T;Z;S,v115@9gC8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0A8JeAgWG?Aq+aFDqOBAA;v115@9gC8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpA8JeAgWG?Av/lFDqOBAA;v115@9gC8R4g0ywC8R4j0wwE8g0RpxwD8h0RpxwA8JeAgWG?A0vaPCzOBAA;v115@9gC8wwg0ywAtC8xwi0BtE8Rpi0D8wwRpwwAtg0A8Je?AgWGAvfjxCqOBAA;v115@9gC8Rph0R4C8j0R4wwE8g0BtxwD8Rpg0BtwwA8JeAg?WGA0fzPCTHBAA;v115@9gC8k0wwC8ywh0xwE8RpBtwwD8wwRpg0BtA8JeAgWG?AvfjxCqOBAA
OTJOSZL,7,TJSZOO;TLJSOO;TLSZOO,L;Z;J,v115@9gC8R4hlRpC8R4g0wwglRpE8g0xwRpD8h0wwglRpA8?JeAgWGAv/VWCPNBAA;v115@9gC8R4RphlC8R4g0RpwwglE8g0RpxwD8h0RpwwglA8?JeAgWGA0vKWCPNBAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8wwilRpC8xwglR4RpE8i0RpD8wwR4g0RpA8JeAg?WGAvvTxCvCBAA;v115@9gC8wwRpilC8xwRpglR4E8Rpi0D8wwRpR4g0A8JeAg?WGAvvTxCvCBAA;v115@9gC8ilwwRpC8i0xwRpE8g0R4RpD8glR4wwRpA8JeAg?WGAvvTxCvCBAA;v115@9gC8R4hlRpC8R4BtglRpE8wwBtRpD8ywglRpA8JeAg?WGAvujWCPNBAA
JOTSZJT,6,TTJSZO;TTJJSO;TTJJZO;TTJJSZ,J;Z;S;O,v115@9gC8ywi0C8BtxwRpg0E8xwi0D8BtwwRpg0A8JeAgWG?Aq+aFDqOBAA;v115@9gC8ywi0C8Btxwi0E8xwg0RpD8Btwwg0RpA8JeAgWG?Av/lFDqOBAA;v115@9gC8R4g0ywC8R4j0wwE8g0RpxwD8h0RpxwA8JeAgWG?A0vaPCzOBAA;v115@9gC8wwg0ywAtC8xwi0BtE8Rpi0D8wwRpwwAtg0A8Je?AgWGAvfjxCqOBAA;v115@9gC8zwRpC8ywBtRpE8R4i0D8R4wwBtg0A8JeAgWGAK?3TxC6OBAA;v115@9gC8i0ywC8BtQ4g0xwg0E8R4xwg0D8BtQ4wwh0A8Je?AgWGAq+jFD0/AAA
